id	GeneID	Description	Aliases	Mechanism	Isoform1	Isoform2	Time1	Time2
1993	AT1G30520	Encodes a chloroplast O-succinylbenzoyl-CoA ligase. Involved in phylloquinone biosynthesis. Knock mutant is seedling lethal.	AAE14	IR	AT1G30520_P1	AT1G30520_s2	WT_24h	WT_0h
2065	AT1G50200	Alanyl-tRNA synthetase;(source:Araport11)	ACD,ALATS	IR	AT1G50200_P1	AT1G50200_ID2	WT_24h	WT_0h
2193	AT1G71720	Encodes a chloroplast localized protein that regulates the translation of Ycf1 by binding to its mRNA. It is involved in the biogenesis of photosynthetic complexes.	PBR1,PDE338,RLSB	A5	AT1G71720_ID18	AT1G71720_P1	WT_24h	WT_0h
2194	AT1G71720	Encodes a chloroplast localized protein that regulates the translation of Ycf1 by binding to its mRNA. It is involved in the biogenesis of photosynthetic complexes.	PBR1,PDE338,RLSB	A5	AT1G71720_ID8	AT1G71720_P1	WT_24h	WT_0h
2195	AT1G71720	Encodes a chloroplast localized protein that regulates the translation of Ycf1 by binding to its mRNA. It is involved in the biogenesis of photosynthetic complexes.	PBR1,PDE338,RLSB	IR	AT1G71720_ID7	AT1G71720_P1	WT_24h	WT_0h
2196	AT1G71720	Encodes a chloroplast localized protein that regulates the translation of Ycf1 by binding to its mRNA. It is involved in the biogenesis of photosynthetic complexes.	PBR1,PDE338,RLSB	IR	AT1G71720_ID8	AT1G71720_P1	WT_24h	WT_0h
2197	AT1G71720	Encodes a chloroplast localized protein that regulates the translation of Ycf1 by binding to its mRNA. It is involved in the biogenesis of photosynthetic complexes.	PBR1,PDE338,RLSB	IR	AT1G71720_ID18	AT1G71720_P1	WT_24h	WT_0h
2255	AT1G80380	encodes a glycerate kinase which catalyzes the last step of photorespiration C2 cycle.	GLYK	A5	AT1G80380_P3	AT1G80380_P2	WT_24h	WT_0h
2264	AT2G01140	Aldolase superfamily protein;(source:Araport11)	AtFBA3,FBA3,PDE345	A3	AT2G01140.1	AT2G01140_ID4	WT_24h	WT_0h
2265	AT2G01140	Aldolase superfamily protein;(source:Araport11)	AtFBA3,FBA3,PDE345	A5	AT2G01140.1	AT2G01140_ID4	WT_24h	WT_0h
2294	AT2G05710	Encodes an aconitase that can catalyze the conversion of citrate to isocitrate through a cis-aconitate intermediate, indicating that it may participate in the TCA cycle and other primary metabolic pathways. The protein is believed to accumulate in the mitochondria and the cytosol. It affects CSD2 (At2g28190 - a superoxide dismutase) transcript levels and may play a role in the response to oxidative stress. One member of the family (ACO1 - At35830) was shown to specifically bind to the 5' UTR of CSD2 in vitro. ACO3 is tyrosine-phosphorylated and its phosphorylation state is modulated in response to ABA in Arabidopsis thaliana seeds. The mRNA is cell-to-cell mobile.	ACO3	A3	AT2G05710_P1	AT2G05710_ID13	WT_24h	WT_0h
2295	AT2G05710	Encodes an aconitase that can catalyze the conversion of citrate to isocitrate through a cis-aconitate intermediate, indicating that it may participate in the TCA cycle and other primary metabolic pathways. The protein is believed to accumulate in the mitochondria and the cytosol. It affects CSD2 (At2g28190 - a superoxide dismutase) transcript levels and may play a role in the response to oxidative stress. One member of the family (ACO1 - At35830) was shown to specifically bind to the 5' UTR of CSD2 in vitro. ACO3 is tyrosine-phosphorylated and its phosphorylation state is modulated in response to ABA in Arabidopsis thaliana seeds. The mRNA is cell-to-cell mobile.	ACO3	A5	AT2G05710_P1	AT2G05710_ID13	WT_24h	WT_0h
2357	AT2G25080	Encodes glutathione peroxidase. The mRNA is cell-to-cell mobile.	ATGPX1,GPX1,GPXL1	A5	AT2G25080_P1	AT2G25080_ID1	WT_24h	WT_0h
2557	AT2G47450	A component of the chloroplast signal recognition particle pathway that is involved in LHCP targeting.  It is downregulated in response to high light. It recognizes the DPLG motif in Lhcb1. The mRNA is cell-to-cell mobile.	CAO,CPSRP43	IR	AT2G47450_P1	AT2G47450_s1	WT_24h	WT_0h
2718	AT3G18930	RING/U-box superfamily protein;(source:Araport11)		A3	AT3G18930.2	AT3G18930_P1	WT_24h	WT_0h
2719	AT3G18930	RING/U-box superfamily protein;(source:Araport11)		ATSS	AT3G18930.2	AT3G18930_P1	WT_24h	WT_0h
2720	AT3G18930	RING/U-box superfamily protein;(source:Araport11)		IR	AT3G18930.2	AT3G18930_P1	WT_24h	WT_0h
2769	AT3G25740	Encodes a plastid localized methionine aminopeptidase. Formerly called MAP1C, now called MAP1B.	MAP1B,MAP1C	A5	AT3G25740_ID5	AT3G25740_P1	WT_24h	WT_0h
2770	AT3G25740	Encodes a plastid localized methionine aminopeptidase. Formerly called MAP1C, now called MAP1B.	MAP1B,MAP1C	A5	AT3G25740_P2	AT3G25740_P1	WT_24h	WT_0h
2771	AT3G25740	Encodes a plastid localized methionine aminopeptidase. Formerly called MAP1C, now called MAP1B.	MAP1B,MAP1C	IR	AT3G25740_P2	AT3G25740_P1	WT_24h	WT_0h
2772	AT3G25740	Encodes a plastid localized methionine aminopeptidase. Formerly called MAP1C, now called MAP1B.	MAP1B,MAP1C	IR	AT3G25740_ID29	AT3G25740_P1	WT_24h	WT_0h
2773	AT3G25740	Encodes a plastid localized methionine aminopeptidase. Formerly called MAP1C, now called MAP1B.	MAP1B,MAP1C	IR	AT3G25740_ID5	AT3G25740_P1	WT_24h	WT_0h
