id	GeneID	Description	Aliases	Mechanism	Isoform1	Isoform2	Time1	Time2
4009	AT3G01500	Encodes a putative beta-carbonic anhydrase betaCA1.  Together with betaCA4 (At1g70410) regulates CO2-controlled stomatal movements in guard cells, as well as attenuates immunity. Differential CA gene expression in response to changing atmospheric CO2 conditions contribute to altered disease resistance levels. Activated by OXS2 under the treatment of salt.	ATBCA1,ATSABP3,CA1,SABP3	IR	AT3G01500_ID11	AT3G01500.2	gun1_0h	WT_0h
4084	AT3G18930	RING/U-box superfamily protein;(source:Araport11)		A3	AT3G18930.2	AT3G18930_P1	gun1_0h	WT_0h
4085	AT3G18930	RING/U-box superfamily protein;(source:Araport11)		ATSS	AT3G18930.2	AT3G18930_P1	gun1_0h	WT_0h
4086	AT3G18930	RING/U-box superfamily protein;(source:Araport11)		IR	AT3G18930.2	AT3G18930_P1	gun1_0h	WT_0h
4109	AT3G25740	Encodes a plastid localized methionine aminopeptidase. Formerly called MAP1C, now called MAP1B.	MAP1B,MAP1C	A3	AT3G25740_ID5	AT3G25740_ID31	gun1_0h	WT_0h
4110	AT3G25740	Encodes a plastid localized methionine aminopeptidase. Formerly called MAP1C, now called MAP1B.	MAP1B,MAP1C	A5	AT3G25740_ID5	AT3G25740_ID31	gun1_0h	WT_0h
4118	AT3G27925	Encodes a DegP protease; nuclear gene encoding chloroplast-targeted protease that can degrade two lumenal proteins, plastocyanin and OE33, suggesting a role as a general-purpose protease in the thylakoid lumen.  Involved in the degradation of D1 protein of PS II, hence participating in the repair of PS II damages caused by photoinhibition. The mRNA is cell-to-cell mobile.	DEG1,DEGP1	IR	AT3G27925_P1	AT3G27925_P2	gun1_0h	WT_0h
4154	AT3G52180	Encodes a plant-specific glucan phosphatase that contains a noncatalytic  carbohydrate-binding module as well as a dual specificity protein phosphatase domain. SEX4 can dephosphorylate C6- and C3-glucosyl residues on native starch grains and related maltodextrin compounds in vitro. This protein interacts with the plant SnRK AKIN11, binds starch, and is localized in the chloroplast. sex4 mutants have elevated levels of starch.	ATPTPKIS1,ATSEX4,DSP4,SEX4	ES	AT3G52180_P4	AT3G52180_P2	gun1_0h	WT_0h
4155	AT3G52180	Encodes a plant-specific glucan phosphatase that contains a noncatalytic  carbohydrate-binding module as well as a dual specificity protein phosphatase domain. SEX4 can dephosphorylate C6- and C3-glucosyl residues on native starch grains and related maltodextrin compounds in vitro. This protein interacts with the plant SnRK AKIN11, binds starch, and is localized in the chloroplast. sex4 mutants have elevated levels of starch.	ATPTPKIS1,ATSEX4,DSP4,SEX4	IR	AT3G52180_P4	AT3G52180_P2	gun1_0h	WT_0h
4156	AT3G52180	Encodes a plant-specific glucan phosphatase that contains a noncatalytic  carbohydrate-binding module as well as a dual specificity protein phosphatase domain. SEX4 can dephosphorylate C6- and C3-glucosyl residues on native starch grains and related maltodextrin compounds in vitro. This protein interacts with the plant SnRK AKIN11, binds starch, and is localized in the chloroplast. sex4 mutants have elevated levels of starch.	ATPTPKIS1,ATSEX4,DSP4,SEX4	A3	AT3G52180_P4	AT3G52180_s1	gun1_0h	WT_0h
4157	AT3G52180	Encodes a plant-specific glucan phosphatase that contains a noncatalytic  carbohydrate-binding module as well as a dual specificity protein phosphatase domain. SEX4 can dephosphorylate C6- and C3-glucosyl residues on native starch grains and related maltodextrin compounds in vitro. This protein interacts with the plant SnRK AKIN11, binds starch, and is localized in the chloroplast. sex4 mutants have elevated levels of starch.	ATPTPKIS1,ATSEX4,DSP4,SEX4	ES	AT3G52180_P4	AT3G52180_s1	gun1_0h	WT_0h
